"","Country","Mean"
"1","Afghanistan",780
"2","Algeria",483
"3","Argentina",522
"4","Armenia",338
"5","Australia",513
"6","Austria",586
"7","Azerbaijan",665
"8","Bahamas",649
"9","Belarus",474
"10","Belgium",517
"11","Belize",607
"12","Bolivia",835
"13","Brazil",570
"14","British Virgin Islands",248
"15","Bulgaria",636
"16","Canada",513
"17","Chile",419
"18","China",594
"19","Colombia",463
"20","Costa Rica",675
"21","Croatia",478
"22","Cyprus",615
"23","Czechia",584
"24","Denmark",597
"25","Ecuador",599
"26","Egypt",788
"27","England",NA
"28","Estonia",526
"29","Fiji",232
"30","Finland",575
"31","France",519
"32","Georgia",551
"33","Germany",562
"34","Greece",546
"35","Guatemala",394
"36","Guyana",520
"37","Hong Kong",NA
"38","Hungary",552
"39","Iceland",621
"40","India",468
"41","Indonesia",602
"42","Iran",697
"43","Iraq",511
"44","Ireland",481
"45","Isle of Man",334
"46","Israel",537
"47","Italy",542
"48","Japan",533
"49","Kazakhstan",528
"50","Kuwait",731
"51","Kyrgyzstan",377
"52","Latvia",550
"53","Lebanon",450
"54","Libya",405
"55","Lithuania",502
"56","Luxembourg",748
"57","Malaysia",503
"58","Malta",411
"59","Mexico",465
"60","Moldova",540
"61","Mongolia",652
"62","N.Ireland",NA
"63","Namibia",278
"64","Nauru",475
"65","Netherlands",537
"66","New Caledonia",472
"67","New Zealand",535
"68","Niger",545
"69","Nigeria",537
"70","Norway",568
"71","Oman",648
"72","Pakistan",455
"73","Palestine",NA
"74","Papua New Guinea",384
"75","Paraguay",735
"76","Peru",468
"77","Philippines",448
"78","Poland",528
"79","Portugal",652
"80","Puerto Rico",555
"81","Romania",592
"82","Russia",533
"83","Samoa",458
"84","Saudi Arabia",812
"85","Scotland",NA
"86","Serbia",500
"87","Singapore",402
"88","Slovakia",564
"89","Slovenia",496
"90","South Africa",478
"91","South Korea",489
"92","Spain",546
"93","Sri Lanka",554
"94","Sweden",591
"95","Switzerland",532
"96","Syria",808
"97","Taiwan",540
"98","Tajikistan",422
"99","Thailand",436
"100","Trinidad and Tobago",NA
"101","Tunisia",788
"102","Turkey",464
"103","Turkmenistan",760
"104","UAE",NA
"105","UK",NA
"106","US Virgin Islands",NA
"107","USSR",NA
