"","Country","Mean"
"1","Afghanistan",780
"2","Algeria",482.75
"3","Argentina",522.141176470588
"4","Armenia",337.5
"5","Australia",513.096823308271
"6","Austria",585.65
"7","Azerbaijan",665.0625
"8","Bahamas",648.75
"9","Belarus",474.03125
"10","Belgium",517.38829787234
"11","Belize",607.056666666667
"12","Bolivia",835
"13","Brazil",569.909090909091
"14","British Virgin Islands",247.5
"15","Bulgaria",635.769230769231
"16","Canada",512.614204793028
"17","Chile",418.62625
"18","China",594.142857142857
"19","Colombia",463.333333333333
"20","Costa Rica",675
"21","Croatia",478.090909090909
"22","Cyprus",615
"23","Czechia",584.137387387387
"24","Denmark",597.204545454545
"25","Ecuador",599.264705882353
"26","Egypt",787.5
"27","England",521.112806026365
"28","Estonia",526.131578947368
"29","Fiji",232.5
"30","Finland",575.35
"31","France",519.46130952381
"32","Georgia",551.444
"33","Germany",562.196428571429
"34","Greece",545.735294117647
"35","Guatemala",394.246666666667
"36","Guyana",520.5
"37","Hong Kong",457.875
"38","Hungary",551.696428571429
"39","Iceland",620.98
"40","India",468.059701492537
"41","Indonesia",602.083333333333
"42","Iran",697.1875
"43","Iraq",510.625
"44","Ireland",480.596870229008
"45","Isle of Man",333.5
"46","Israel",537.431034482759
"47","Italy",541.811965811966
"48","Japan",533.487654320988
"49","Kazakhstan",527.623456790123
"50","Kuwait",731.25
"51","Kyrgyzstan",376.875
"52","Latvia",550.194444444444
"53","Lebanon",450
"54","Libya",405
"55","Lithuania",502.28125
"56","Luxembourg",747.5
"57","Malaysia",503.2
"58","Malta",411
"59","Mexico",464.7265
"60","Moldova",540
"61","Mongolia",652.34375
"62","N.Ireland",403.5
"63","Namibia",277.5
"64","Nauru",475.25
"65","Netherlands",537.220689655172
"66","New Caledonia",472.5
"67","New Zealand",535.328467153285
"68","Niger",545
"69","Nigeria",536.666666666667
"70","Norway",568.099476439791
"71","Oman",647.5
"72","Pakistan",455
"73","Palestine",570
"74","Papua New Guinea",384.333333333333
"75","Paraguay",735
"76","Peru",467.791666666667
"77","Philippines",447.769230769231
"78","Poland",527.647058823529
"79","Portugal",652.5
"80","Puerto Rico",554.64
"81","Romania",592.222222222222
"82","Russia",533.181407867495
"83","Samoa",457.5
"84","Saudi Arabia",812.5
"85","Scotland",476.486486486487
"86","Serbia",500.466666666667
"87","Singapore",402
"88","Slovakia",563.675
"89","Slovenia",496.382352941176
"90","South Africa",477.9375
"91","South Korea",489.285714285714
"92","Spain",546.204545454545
"93","Sri Lanka",553.75
"94","Sweden",591.264705882353
"95","Switzerland",532.066666666667
"96","Syria",808
"97","Taiwan",540.347222222222
"98","Tajikistan",422.5
"99","Thailand",436.25
"100","Trinidad and Tobago",511.25
"101","Tunisia",788.5
"102","Turkey",463.5
"103","Turkmenistan",760
"104","UAE",505.375
"105","UK",520.040322580645
"106","US Virgin Islands",513.75
"107","USSR",624.666666666667
"108","Ukraine",530.080777604977
"109","United States of America",494.7649031512
"110","Uruguay",605.3125
"111","Uzbekistan",447.8125
"112","Venezuela",577.5
"113","Wales",573.333333333333
"114","West Germany",605
"115","Zimbabwe",402.5
