"","Name","Sex","Event","Equipment","Age","AgeClass","BirthYearClass","Division","BodyweightKg","WeightClassKg","Best3SquatKg","Best3BenchKg","Best3DeadliftKg","TotalKg","Place","Dots","Wilks","Glossbrenner","Goodlift","Tested","Country","Date"
"724029","Alex Andrews","M","SBD","Single-ply",17.5,"18-19","14-18","Boys",113.94,"124.7",183.7,92.99,172.37,449.06,"7",262.55,261.58,250.31,44.3,"Yes","USA","2015-01-10"
"478110","Vyacheslav Kutafin","M","SBD","Raw",39,"35-39","40-49","Masters 1",90.95,"93",210,165,230,605,"2",389.15,384.19,368.05,80.02,"Yes","Russia","2019-12-04"
"278056","Nikolay Kuzmin","M","SBD","Wraps",26,"24-34","24-39","Pro Open",99.1,"100",210,145,230,585,"1",361.5,357.33,341.34,74.22,"no","Russia","2017-10-06"
"169628","Ross Van Der Bosch","M","SBD","Raw",35,"35-39","24-39","MR-O",96.95,"105",250,137.5,302.5,690,"1",430.57,425.36,406.55,88.47,"Yes","USA","2019-12-07"
"602248","Bryan Anderson","M","SBD","Raw",36,"35-39","24-39","Open",122.5,"125",215,125,245,585,"3",333.7,334.78,320.74,67.4,"no","USA","2022-09-24"
"456811","Vladimir Dodonov","M","SBD","Single-ply",17.5,"18-19","14-18","Sub-Juniors",70.05,"74",185,122.5,177.5,485,"3",364.13,363.25,352.02,62.33,"Yes","Russia","2014-02-22"
"265144","Sam Watt","M","SBD","Single-ply",24,"24-34","24-39","Open",97.5,"100",340,185,327.5,852.5,"1",530.62,524.27,501,90.26,"Yes","England","1995-06-10"
"64649","Aaron Moody","M","SBD","Wraps",29,"24-34","24-39","M_OCR_BPU",107.1,"110",272.5,162.5,265,700,"3",418.86,415.47,396.83,85.64,"no","UK","2018-04-14"
"117926","Elizabeth Peterka","F","SBD","Raw",44.5,"40-44","40-49","FR-O",84.4,"84+",87.5,40,112.5,240,"3",220.34,213.51,186.6,45.24,"Yes","USA","2017-11-05"
"170911","Spencer Kraft","M","SBD","Raw",20.5,"20-23","19-23","MR-Jr",97.9,"105",160,110,205,475,"1",295.11,291.61,278.64,60.62,"Yes","USA","2020-08-15"
"743758","Yoshito Nishimura","M","SBD","Single-ply",23,"20-23","19-23","Juniors",65.86,"66",275,192.5,260,727.5,"1",570.91,572.23,556.1,97.59,"Yes","Japan","2013-08-27"
"157200","Ryan Smith","M","SBD","Raw",46.5,"45-49","40-49","MR-M1b",79.4,"83",95,82.5,132.5,310,"1",214.71,212.65,204.96,43.89,"Yes","USA","2019-03-16"
"718687","Austin Cummins","M","SBD","Single-ply",17.5,"18-19","14-18","Boys",109.32,"109.7",215.46,133.81,188.24,537.51,"3",319.1,316.93,302.85,53.97,"Yes","USA","2021-01-14"
"544510","James Jones","M","SBD","Wraps",46,"45-49","40-49","Masters 45-49",119.3,"125",227.5,167.5,257.5,652.5,"1",375.47,375.65,359.95,76.04,"no","USA","2017-10-22"
"139318","Jason Leger","M","SBD","Raw",34.5,"24-34","24-39","MR-O",92.2,"93",182.5,132.5,240,555,"3",354.6,350.09,335.19,72.91,"Yes","USA","2017-01-14"
"324230","Kincaid Anderberg","M","SBD","Raw",17,"16-17","14-18","MR-Sj",89.35,"93",177.5,120,230,527.5,"2",342.34,338.01,324.05,70.38,"Yes","England","2022-04-09"
"697223","Andrei Cioflica","M","SBD","Single-ply",26.5,"24-34","24-39","Open",70.6,"74",225,190,222.5,637.5,"2",476.05,474.64,459.81,81.5,"Yes","Romania","2017-10-06"
"99349","Cyler Anderson","M","SBD","Raw",23.5,"24-34","24-39","MR-Jr",91.85,"93",267.5,147.5,285,700,"1",448.07,442.37,423.61,92.13,"Yes","USA","2019-05-18"
"713433","Hermann Haraldsson","M","SBD","Single-ply",23,"20-23","24-39","Open",75,"75",175,125,195,495,"1",355.12,352.72,340.81,60.82,"Yes","Iceland","1983-04-30"
"168516","Jason Thiel","M","SBD","Raw",34.5,"24-34","24-39","MR-O",81.6,"83",160,100,202.5,462.5,"9",315.26,311.89,300.25,64.58,"Yes","USA","2015-12-12"
"409413","Dennis Hulslander","M","SBD","Single-ply",31,"24-34","24-39","M-O",144.9,"125+",357.5,250,327.5,935,"4",507.54,519.87,492.8,84.81,"Yes","USA","2003-07-19"
"40360","Dmitriy Korshunov","M","SBD","Raw",27,"24-34","24-39","Amateur Open",70.4,"75",130,95,145,370,"1",276.84,276.07,267.48,55.75,"Yes","Russia","2013-11-30"
"501301","Mike Leadbetter","M","SBD","Raw",56,"55-59","50-59","M-M4",109.8,"110",195,140,272.5,607.5,"1",360.05,357.71,341.86,73.48,"Yes","England","2007-06-23"
"619895","Colleen Secor","F","SBD","Wraps",45,"45-49","40-49","Masters 45-49",81.3,"82.5",125,75,167.5,367.5,"1",343.53,333.31,292.03,70.32,"Yes","USA","2022-06-04"
"328373","Stephanos Karidis","M","SBD","Raw",22.5,"20-23","19-23","MR-Jr",92.4,"93",252.5,140,300,692.5,"1",441.98,436.37,417.76,90.88,"Yes","England","2022-10-29"
"674356","Fabián Silva","M","SBD","Raw",16.5,"16-17","14-18","Sub-Juniors",81.9,"83",200.5,92.5,205,498,"2",338.75,335.08,322.52,69.4,"Yes","Peru","2018-07-06"
"15636","Ville Niskanen","M","SBD","Single-ply",24.5,"24-34","24-39","Open",101.15,"105",170,95,200,465,"2",284.81,281.72,269.04,48.36,"Yes","Finland","2020-10-10"
"553741","Kim Burke","F","SBD","Raw",46,"45-49","40-49","Open",74.3,"75",125,80,155,360,"1",352.38,344.26,302.93,71.75,"no","USA","2015-12-12"
"593081","Shannon Paulson","F","SBD","Raw",49,"45-49","50-59","Masters 45-49",65.4,"67.5",87.5,80,137.5,305,"1",320.75,318.53,281.13,65.19,"Yes","USA","2020-02-22"
"603343","Michael MacMillan","M","SBD","Raw",66,"65-69","60-69","Masters 65-69",80.1,"82.5",107.5,85,137.5,330,"1",227.38,225.11,216.89,46.51,"no","USA","2018-12-08"
"500978","Sean Coll","M","SBD","Wraps",41,"40-44","40-49","M-OR",64.7,"67.5",182.5,95,207.5,485,"2",385.72,387.17,376.58,76.4,"no","Australia","2022-04-24"
"589609","Richelle Ledesma","F","SBD","Wraps",25,"24-34","24-39","Open",51.9,"52",107.5,65,137.5,310,"1",378.37,387.03,343.1,78.41,"no","USA","2019-03-16"
"595161","Keelee MacPhee","F","SBD","Raw",47,"45-49","40-49","Masters 45-49",89.1,"90",122.5,60,127.5,310,"1",277.61,269,234.03,57.28,"no","USA","2018-08-25"
"212754","Adesh Ramdhanas","M","SBD","Raw",19.5,"20-23","19-23","MR-C",81.26,"82.5",220,120,260,600,"2",409.97,405.65,390.59,83.95,"Yes","USA","2022-12-03"
"645039","Jamison Richardson","M","SBD","Wraps",25.5,"24-34","24-39","Pro Open",123.74,"125",290,162.5,305,757.5,"2",430.7,432.56,414.25,86.9,"no","USA","2016-05-14"
"129464","Sara Milanowski","F","SBD","Raw",32.5,"24-34","24-39","FR-O",117.9,"100+",140,92.5,160,392.5,"1",316.53,314.86,267.07,67.49,"Yes","USA","2022-10-29"
"662873","Gary Clock","M","SBD","Single-ply",55,"55-59","50-59","LM 55-59",110,"110",247.5,185,250,682.5,"1",404.22,401.65,383.87,68.34,"Yes","USA","2004-12-01"
"416796","Todd Dierks","M","SBD","Single-ply",43.5,"40-44","40-49","M-O",110,"110",217.72,142.43,234.96,595.11,"8",352.46,350.22,334.72,59.59,"Yes","USA","2005-01-29"
"390049","Christian Delpieu","M","SBD","Raw",64.5,"60-64","60-69","Masters 3",91.2,"93",195,115,233,543,"1",348.79,344.35,329.84,71.72,"Yes","France","2016-03-04"
