"","X","Name","Sex","Event","Equipment","Age","AgeClass","BirthYearClass","Division","BodyweightKg","WeightClassKg","Best3SquatKg","Best3BenchKg","Best3DeadliftKg","TotalKg","Place","Dots","Wilks","Glossbrenner","Goodlift","Tested","Country","Date"
"1",724029,"Alex Andrews","M","SBD","Single-ply",17.5,"18-19","14-18","Boys",113.94,"124.7",183.7,92.99,172.37,449.06,"7",262.55,261.58,250.31,44.3,"Yes","United States of America","2015-01-10"
"2",478110,"Vyacheslav Kutafin","M","SBD","Raw",39,"35-39","40-49","Masters 1",90.95,"93",210,165,230,605,"2",389.15,384.19,368.05,80.02,"Yes","Russia","2019-12-04"
"3",278056,"Nikolay Kuzmin","M","SBD","Wraps",26,"24-34","24-39","Pro Open",99.1,"100",210,145,230,585,"1",361.5,357.33,341.34,74.22,"no","Russia","2017-10-06"
"4",169628,"Ross Van Der Bosch","M","SBD","Raw",35,"35-39","24-39","MR-O",96.95,"105",250,137.5,302.5,690,"1",430.57,425.36,406.55,88.47,"Yes","United States of America","2019-12-07"
"5",602248,"Bryan Anderson","M","SBD","Raw",36,"35-39","24-39","Open",122.5,"125",215,125,245,585,"3",333.7,334.78,320.74,67.4,"no","United States of America","2022-09-24"
"6",456811,"Vladimir Dodonov","M","SBD","Single-ply",17.5,"18-19","14-18","Sub-Juniors",70.05,"74",185,122.5,177.5,485,"3",364.13,363.25,352.02,62.33,"Yes","Russia","2014-02-22"
"7",265144,"Sam Watt","M","SBD","Single-ply",24,"24-34","24-39","Open",97.5,"100",340,185,327.5,852.5,"1",530.62,524.27,501,90.26,"Yes","England","1995-06-10"
"8",64649,"Aaron Moody","M","SBD","Wraps",29,"24-34","24-39","M_OCR_BPU",107.1,"110",272.5,162.5,265,700,"3",418.86,415.47,396.83,85.64,"no","UK","2018-04-14"
"9",117926,"Elizabeth Peterka","F","SBD","Raw",44.5,"40-44","40-49","FR-O",84.4,"84+",87.5,40,112.5,240,"3",220.34,213.51,186.6,45.24,"Yes","United States of America","2017-11-05"
"10",170911,"Spencer Kraft","M","SBD","Raw",20.5,"20-23","19-23","MR-Jr",97.9,"105",160,110,205,475,"1",295.11,291.61,278.64,60.62,"Yes","United States of America","2020-08-15"
"11",743758,"Yoshito Nishimura","M","SBD","Single-ply",23,"20-23","19-23","Juniors",65.86,"66",275,192.5,260,727.5,"1",570.91,572.23,556.1,97.59,"Yes","Japan","2013-08-27"
"12",157200,"Ryan Smith","M","SBD","Raw",46.5,"45-49","40-49","MR-M1b",79.4,"83",95,82.5,132.5,310,"1",214.71,212.65,204.96,43.89,"Yes","United States of America","2019-03-16"
"13",718687,"Austin Cummins","M","SBD","Single-ply",17.5,"18-19","14-18","Boys",109.32,"109.7",215.46,133.81,188.24,537.51,"3",319.1,316.93,302.85,53.97,"Yes","United States of America","2021-01-14"
"14",544510,"James Jones","M","SBD","Wraps",46,"45-49","40-49","Masters 45-49",119.3,"125",227.5,167.5,257.5,652.5,"1",375.47,375.65,359.95,76.04,"no","United States of America","2017-10-22"
"15",139318,"Jason Leger","M","SBD","Raw",34.5,"24-34","24-39","MR-O",92.2,"93",182.5,132.5,240,555,"3",354.6,350.09,335.19,72.91,"Yes","United States of America","2017-01-14"
"16",324230,"Kincaid Anderberg","M","SBD","Raw",17,"16-17","14-18","MR-Sj",89.35,"93",177.5,120,230,527.5,"2",342.34,338.01,324.05,70.38,"Yes","England","2022-04-09"
"17",697223,"Andrei Cioflica","M","SBD","Single-ply",26.5,"24-34","24-39","Open",70.6,"74",225,190,222.5,637.5,"2",476.05,474.64,459.81,81.5,"Yes","Romania","2017-10-06"
"18",99349,"Cyler Anderson","M","SBD","Raw",23.5,"24-34","24-39","MR-Jr",91.85,"93",267.5,147.5,285,700,"1",448.07,442.37,423.61,92.13,"Yes","United States of America","2019-05-18"
"19",713433,"Hermann Haraldsson","M","SBD","Single-ply",23,"20-23","24-39","Open",75,"75",175,125,195,495,"1",355.12,352.72,340.81,60.82,"Yes","Iceland","1983-04-30"
