"","Sex","Best3SquatKg","Best3BenchKg","Best3DeadliftKg","TotalKg"
"1","M",183.7,92.99,172.37,449.06
"2","M",210,165,230,605
"3","M",210,145,230,585
"4","M",250,137.5,302.5,690
"5","M",215,125,245,585
"6","M",185,122.5,177.5,485
"7","M",340,185,327.5,852.5
"8","M",272.5,162.5,265,700
"9","F",87.5,40,112.5,240
"10","M",160,110,205,475
"11","M",275,192.5,260,727.5
"12","M",95,82.5,132.5,310
"13","M",215.46,133.81,188.24,537.51
"14","M",227.5,167.5,257.5,652.5
"15","M",182.5,132.5,240,555
"16","M",177.5,120,230,527.5
"17","M",225,190,222.5,637.5
"18","M",267.5,147.5,285,700
"19","M",175,125,195,495
"20","M",160,100,202.5,462.5
"21","M",357.5,250,327.5,935
"22","M",130,95,145,370
"23","M",195,140,272.5,607.5
"24","F",125,75,167.5,367.5
"25","M",252.5,140,300,692.5
"26","M",200.5,92.5,205,498
"27","M",170,95,200,465
"28","F",125,80,155,360
"29","F",87.5,80,137.5,305
"30","M",107.5,85,137.5,330
"31","M",182.5,95,207.5,485
"32","F",107.5,65,137.5,310
"33","F",122.5,60,127.5,310
"34","M",220,120,260,600
"35","M",290,162.5,305,757.5
"36","F",140,92.5,160,392.5
"37","M",247.5,185,250,682.5
"38","M",217.72,142.43,234.96,595.11
"39","M",195,115,233,543
"40","M",192.5,102.5,190,485
"41","F",130,70,177.5,377.5
"42","M",170,140,230,540
"43","M",230,137.5,247.5,615
"44","F",110,62.5,125,297.5
"45","F",122.5,60,137.5,320
"46","M",256.28,127.01,238.14,621.42
"47","F",150,75,137.5,362.5
"48","F",135,97,170,402
"49","M",130,80,175,385
"50","F",122.5,65,146,333.5
"51","M",190,85,180,455
"52","M",182.5,110,205,497.5
"53","F",80,50,135,265
"54","M",250,155,240,645
"55","M",225,152.5,235,612.5
"56","M",232.5,162.5,265,660
"57","M",150,140,170,460
"58","F",210,100,195,505
"59","M",142.5,110,170,422.5
"60","F",120,70,167.5,357.5
"61","F",115,67.5,132.5,315
"62","M",140,103,185,428
"63","M",156.49,79.38,136.08,371.95
"64","M",162.5,115,227.5,505
"65","F",52.5,30,100,182.5
"66","M",130,112.5,160,402.5
"67","M",175,132.5,205,512.5
"68","M",183.71,117.93,226.8,528.44
"69","F",117.5,67.5,155,340
"70","M",182.5,127.5,210,520
"71","M",127.5,67.5,180,375
"72","M",257.5,155,300,712.5
"73","F",132.5,72.5,150,355
"74","F",115,75,130,320
"75","M",320,230,285,835
"76","F",127.5,72.5,125,325
"77","M",310,182.5,300.5,793
"78","F",115,62.5,132.5,310
"79","M",262.5,172.5,292.5,727.5
"80","M",297.5,197.5,297.5,792.5
"81","M",87.5,42.5,120,250
"82","F",100,45,100,245
"83","M",240,187.5,280,707.5
"84","M",290,150,290,730
"85","M",181.44,142.88,242.67,566.99
"86","F",120,70,125,315
"87","F",140,70,190,400
"88","M",232.5,138.5,220,591
"89","M",220,142.5,255,617.5
"90","M",227.5,127.5,300,655
"91","M",188.24,131.54,219.99,539.77
"92","F",70,55,112.5,237.5
"93","M",300,200,230,730
"94","M",205,125,225,555
"95","M",160,130,180,470
"96","M",185,125,220,530
"97","M",225,297.5,240,762.5
"98","M",190,115,215,520
"99","M",155,75,155,385
"100","F",65,47.5,130,242.5
"101","F",175,75,197.5,447.5
"102","M",190,130,230,550
"103","M",177.5,125,215,517.5
"104","M",167.83,149.69,174.63,492.15
"105","M",288.03,210.92,328.85,827.81
"106","F",130,75,160,365
"107","M",200,112.5,212.5,525
"108","M",287.5,197.5,300,785
"109","F",140,90,150,380
"110","M",265,175,292.5,732.5
"111","F",90,55,115,260
"112","M",220,175,265,660
"113","M",160,92.5,142.5,395
"114","F",112.5,47.5,125,285
"115","M",152.5,92.5,210,455
"116","M",155,127.5,192.5,475
"117","F",180,85,195,460
"118","M",150,118.5,192.5,461
"119","M",137.5,85,152.5,375
"120","M",232.5,167.5,295,695
"121","M",260,145,235,640
"122","M",315,205,280,800
"123","M",155,130,172.5,457.5
"124","F",102.5,55,125,282.5
"125","F",155.13,84.82,150.14,390.09
"126","M",282.5,192.5,250,725
"127","M",245,145,240,630
"128","M",192.5,120,220,532.5
"129","M",177.5,100,182.5,460
"130","M",200,142.5,212.5,555
"131","M",212.5,125,217.5,555
"132","M",155,102.5,210,467.5
"133","F",130,60,137.5,327.5
"134","M",222.5,125,255,602.5
"135","F",75,45,110,230
"136","M",262.5,207.5,302.5,772.5
"137","F",125,70,132.5,327.5
"138","F",113.4,49.9,117.93,281.23
"139","F",77.5,40,97.5,215
"140","M",202,133,251,586
"141","M",136.08,83.91,147.42,367.41
"142","M",183,175,238,596
"143","M",325,187.5,310,822.5
"144","M",260,180,240,680
"145","M",185,137.5,225,547.5
"146","M",132.5,75,142.5,350
"147","M",120,67.5,135,322.5
"148","M",200,120,230,550
"149","F",120,67.5,137.5,325
"150","M",170,110,205,485
"151","F",156.49,86.18,149.69,392.36
"152","F",82.5,55,102.5,240
"153","F",112.5,67.5,142.5,322.5
"154","M",105,85,135,325
"155","M",252.5,117.5,240,610
"156","M",190,155,242.5,587.5
"157","M",197.5,142.5,225,565
"158","M",260.82,263.08,272.16,796.05
"159","M",215,182.5,252.5,650
"160","M",210,142.5,205,557.5
"161","M",215,152.5,247.5,615
"162","F",77.5,40,92.5,210
"163","M",165,120,195,480
"164","M",255,187.5,325,767.5
"165","M",175,110,200,485
"166","M",270,185,300,755
"167","M",80,50,100,230
"168","M",180,125,260,565
"169","M",195,130,245,570
"170","M",200,100,230,530
"171","F",77.5,35,105,217.5
"172","M",227.5,127.5,192.5,547.5
"173","M",345,237.5,347.5,930
"174","F",125,62.5,137.5,325
"175","M",350,190,287.5,827.5
"176","M",282.5,180,282.5,745
"177","M",227.5,185,277.5,690
"178","M",390,295,365,1050
"179","M",254.01,122.47,238.14,614.62
"180","M",170,100,215,485
"181","M",175,125,175,475
"182","M",320,220,315,855
"183","M",202.5,120,215,537.5
"184","F",104.33,47.63,113.4,265.35
"185","M",112.5,95,152.5,360
"186","M",275,170,290,735
"187","M",262.5,180,267.5,710
"188","F",82.5,60,110,252.5
"189","M",175,132.5,215,522.5
"190","F",95,60,127.5,282.5
"191","M",115,107.5,160,382.5
"192","M",235,165,260,660
"193","F",130,72.5,110,312.5
"194","M",217.72,149.69,283.5,650.91
"195","F",72.5,57.5,122.5,252.5
"196","M",235,160,270,665
"197","F",185,100,160,445
"198","M",355,215,320,890
"199","M",195,155,227.5,577.5
"200","M",365,250,277.5,892.5
"201","M",162.5,97.5,170,430
"202","M",202.5,120,230,552.5
"203","M",285,170,280,735
"204","F",132.5,67.5,172.5,372.5
"205","M",170.1,111.13,174.63,455.86
"206","M",245,170,270,685
"207","M",212.5,140,237.5,590
"208","M",220,152.5,285,657.5
"209","M",220,147.5,220,587.5
"210","M",232.5,175,272.5,680
"211","M",185,142.5,230,557.5
"212","F",120,52.5,135,307.5
"213","M",145,90,157.5,392.5
"214","M",170,120,205,495
"215","M",232.5,157.5,230,620
"216","M",154.22,104.33,142.88,401.43
"217","M",137.5,100,165,402.5
"218","M",220,130,255,605
"219","F",162.5,85,192.5,440
"220","M",217.5,140,240,597.5
"221","M",190,125,260,575
"222","F",124.74,74.84,136.08,335.66
"223","F",70,50,120,240
"224","M",215,165,242.5,622.5
"225","M",240,165,252.5,657.5
"226","F",80,50,112.5,242.5
"227","M",174.63,129.27,215.46,519.36
"228","F",130,123,175,428
"229","F",130,67,144,341
"230","M",262.5,147.5,260,670
"231","M",260,200,260,720
"232","M",190,107.5,195,492.5
